湖南卫视		rtp://239.86.1.1:1234
湖南国际		rtp://239.86.1.2:1234
湖南经视		rtp://239.86.1.3:1234
湖南都市		rtp://239.86.1.4:1234
湖南娱乐		rtp://239.86.1.5:1234
湖南电影		rtp://239.86.1.6:1234
金鹰卡通		rtp://239.86.1.7:1234
湖南电视剧	rtp://239.86.1.8:1234
湖南公共		rtp://239.86.1.9:1234
金鹰纪实		rtp://239.86.1.10:1234
快乐购		rtp://239.86.1.11:1234

CCTV1		rtp://239.86.1.13:1234
CCTV2		rtp://239.86.1.14:1234
CCTV3		rtp://239.86.1.15:1234
CCTV4		rtp://239.86.1.16:1234
CCTV5		rtp://239.86.1.17:1234
CCTV6		rtp://239.86.1.18:1234
CCTV7		rtp://239.86.1.19:1234
CCTV8		rtp://239.86.1.20:1234
CCTV9		rtp://239.86.1.21:1234
CCTV10		rtp://239.86.1.22:1234
CCTV11		rtp://239.86.1.23:1234
CCTV12		rtp://239.86.1.24:1234
CCTV13		rtp://239.86.1.25:1234
CCTV14		rtp://239.86.1.26:1234
CCTV15		rtp://239.86.1.27:1234
CGTN新闻高清	rtp://239.86.1.28:1234
CGTN纪录高清	rtp://239.86.1.29:1234
江苏卫视		rtp://239.86.1.30:1234
浙江卫视		rtp://239.86.1.31:1234
安徽卫视		rtp://239.86.1.32:1234
北京卫视		rtp://239.86.1.33:1234
天津卫视		rtp://239.86.1.34:1234
东方卫视		rtp://239.86.1.35:1234
江西卫视		rtp://239.86.1.36:1234
深圳卫视		rtp://239.86.1.37:1234
辽宁卫视		rtp://239.86.1.38:1234
东南卫视		rtp://239.86.1.39:1234
海南卫视		rtp://239.86.1.40:1234
广东卫视		rtp://239.86.1.41:1234
湖北卫视		rtp://239.86.1.42:1234
广西卫视		rtp://239.86.1.43:1234
山东卫视		rtp://239.86.1.44:1234
四川卫视		rtp://239.86.1.45:1234
重庆卫视		rtp://239.86.1.46:1234
云南卫视		rtp://239.86.1.47:1234
河南卫视		rtp://239.86.1.48:1234
黑龙江卫视	rtp://239.86.1.49:1234
贵州卫视		rtp://239.86.1.50:1234
河北卫视		rtp://239.86.1.51:1234
吉林卫视		rtp://239.86.1.52:1234
陕西卫视		rtp://239.86.1.53:1234
山西卫视		rtp://239.86.1.54:1234
内蒙古卫视	rtp://239.86.1.55:1234
宁夏卫视		rtp://239.86.1.56:1234
西藏卫视		rtp://239.86.1.57:1234
新疆卫视		rtp://239.86.1.58:1234
甘肃卫视		rtp://239.86.1.59:1234
卡酷动画		rtp://239.86.1.60:1234
优漫卡通		rtp://239.86.1.61:1234
大湾区卫视	rtp://239.86.1.62:1234
青海卫视		rtp://239.86.1.63:1234
湖南卫视高清	rtp://239.86.1.64:1234
湖南经视高清	rtp://239.86.1.65:1234
CCTV1高清	rtp://239.86.1.66:1234

江苏卫视高清	rtp://239.86.1.68:1234
浙江卫视高清	rtp://239.86.1.69:1234
北京卫视高清	rtp://239.86.1.70:1234
天津卫视高清	rtp://239.86.1.71:1234
东方卫视高清	rtp://239.86.1.72:1234
深圳卫视高清	rtp://239.86.1.73:1234
山东卫视高清	rtp://239.86.1.74:1234
黑龙江卫视高清	rtp://239.86.1.75:1234

CCTV17		rtp://239.86.1.77:1234
CCTV17高清	rtp://239.86.1.78:1234
CCTV4欧洲高清	rtp://239.86.1.79:1234
CCTV4欧洲	rtp://239.86.1.80:1234
茶频道高清	rtp://239.86.1.81:1234
CHC家庭影院高清	rtp://239.86.1.82:1234
CHC高清电影高清	rtp://239.86.1.83:1234
CHC动作电影高清	rtp://239.86.1.84:1234
新动漫		rtp://239.86.1.85:1234

CCTV11高清	rtp://239.86.1.87:1234
CCTV15高清	rtp://239.86.1.88:1234

三沙卫视高清	rtp://239.86.1.90:1234
郴州新闻综合高清	rtp://239.86.1.91:1234
衡阳新闻综合高清	rtp://239.86.1.92:1234
衡阳公共高清	rtp://239.86.1.93:1234
益阳新闻综合高清	rtp://239.86.1.94:1234
益阳公共		rtp://239.86.1.95:1234
永州新闻综合高清	rtp://239.86.1.96:1234
永州新闻综合	rtp://239.86.1.97:1234
永州公共		rtp://239.86.1.98:1234
永州公共		rtp://239.86.1.99:1234






CETV1		rtp://239.86.1.106:1234
常德新闻综合 	rtp://239.86.1.107:1234
茶频道 		rtp://239.86.1.108:1234






CCTV5+高清	rtp://239.86.1.115:1234
CCTV5高清	rtp://239.86.1.116:1234


证券服务		rtp://239.86.1.119:1234


车迷		rtp://239.86.1.122:1234
环球旅游		rtp://239.86.1.123:1234






CGTN俄语高清	rtp://239.86.1.130:1234
CGTN俄语	rtp://239.86.1.131:1234
CGTN新闻	rtp://239.86.1.132:1234



CGTN记录	rtp://239.86.1.136:1234

CCTV16		rtp://239.86.1.138:1234
邵阳综合高清	rtp://239.86.1.139:1234
邵阳公共高清	rtp://239.86.1.140:1234
岳阳综合高清	rtp://239.86.1.141:1234
CCTV5+		rtp://239.86.1.142:1234
岳阳公共高清	rtp://239.86.1.143:1234

CGTN法语高清	rtp://239.86.1.145:1234
CGTN法语	rtp://239.86.1.146:1234
CGTN阿语高清	rtp://239.86.1.147:1234
CGTN阿语	rtp://239.86.1.148:1234
娄底综合高清	rtp://239.86.1.149:1234
娄底公共高清	rtp://239.86.1.150:1234
CGTN欧洲	rtp://239.86.1.151:1234
天元围棋		rtp://239.86.1.152:1234
四海钓鱼		rtp://239.86.1.153:1234
快乐垂钓高清	rtp://239.86.1.154:1234
娄底教育高清	rtp://239.86.1.155:1234
四川卫视高清	rtp://239.86.1.156:1234
重庆卫视高清	rtp://239.86.1.157:1234

海南卫视高清	rtp://239.86.1.159:1234
河南卫视高清	rtp://239.86.1.160:1234
吉林卫视高清	rtp://239.86.1.161:1234
甘肃卫视高清	rtp://239.86.1.162:1234
CCTV4美洲	rtp://239.86.1.163:1234
CGTN西语高清	rtp://239.86.1.164:1234
湖南都市高清	rtp://239.86.1.165:1234
湖南电视剧高清	rtp://239.86.1.166:1234
湖南电影高清	rtp://239.86.1.167:1234
金鹰卡通高清	rtp://239.86.1.168:1234
湖南娱乐高清	rtp://239.86.1.169:1234
金鹰纪实高清	rtp://239.86.1.170:1234
湖南公共高清	rtp://239.86.1.171:1234
湖南国际高清	rtp://239.86.1.172:1234
CCTV-2高清	rtp://239.86.1.173:1234
CCTV-3高清	rtp://239.86.1.174:1234
CCTV-6高清	rtp://239.86.1.175:1234
CCTV-7高清	rtp://239.86.1.176:1234
CCTV-8高清	rtp://239.86.1.177:1234
CCTV-9高清	rtp://239.86.1.178:1234
CCTV10高清	rtp://239.86.1.179:1234
CCTV12高清	rtp://239.86.1.180:1234
CCTV14高清	rtp://239.86.1.181:1234

