169,#genre#
凤凰中文,p3p://108.181.32.169:37194/6762ba8400032d22b3a1f3fd63ed222e
凤凰资讯,p3p://108.181.32.169:37194/67619e22000500d4af4b15a9277c7c29
TVB翡翠,p3p://108.181.32.169:37194/655daa1c00083272cfe6541e61d40be0
TVB翡翠(MY),p3p://108.181.32.169:37194/6533f6f8000f2ebd2d03af9d53e46544
TVB明珠,p3p://108.181.32.169:37194/6533f84d00047c732d08e0ea71ab4e92
无线新闻,p3p://108.181.32.169:37194/66c414110003f1f047eb7cb30cd84a38
TVB娱乐新闻,p3p://108.181.32.169:37194/64102219000c6f74985f28485a5a5799
TVB_PLUS,p3p://108.181.32.169:37194/641021800006a527985cd1244315142d
ViuTV,p3p://108.181.32.169:37194/641021400008eb86985bd7b90b510a5b
ViuTV6,p3p://108.181.32.169:37194/6410215d000ad4ca985c497e192b3552
RTHKTV31,p3p://108.181.32.169:37194/64101f330006ab429853d45f7940453b
RTHKTV32,p3p://108.181.32.169:37194/641020b00001b8599859a360613572d7
HOY76,p3p://108.181.32.169:37194/64100aec000c7bc59804a081537730cb
HOY77,p3p://108.181.32.169:37194/641022340009a273985f91092cb6113d
TVB星河(粤),p3p://108.181.32.169:37194/641021c50003c5af985dddf037af353c
TVB星河(国),p3p://108.181.32.169:37194/641021e900026b0f985e6a374d7d56bb
TVB武侠,p3p://108.181.32.169:37194/6411291b0004b01b9c62861646d00929
TVB经典,p3p://108.181.32.169:37194/6410219e0000704b985d44bd2a501d47
美亚电影(港),p3p://108.181.32.169:37194/642525310003ad3cea72ca2155c734c3
TVB黃金翡翠,p3p://108.181.32.169:37194/64206c63000c3a90d801201c5fe2483a
TVB粵語片,p3p://108.181.32.169:37194/643361c7000d4bee220f05703b541d41
TVB华剧,p3p://108.181.32.169:37194/643361e10003610a220f68773c0b4c78
TVB戏曲,p3p://108.181.32.169:37194/64336236000b18a12210b67722665e99
Now财经,p3p://108.181.32.169:37194/641020d00004bf91985a212731011c3c
Now直播,p3p://108.181.32.169:37194/6417e77b0007feb1b6b9f4ca25bc6e04
Now爆谷,p3p://108.181.32.169:37194/641af90c000328bac2b691f11db2274a
Now星影,p3p://108.181.32.169:37194/641af926000cc2b9c2b6f9f75c8d2b97
Now体育,p3p://108.181.32.169:37194/64100a6b000527e19802a6b80be147fa
Now_sporst_plus,p3p://108.181.32.169:37194/64b8f962000df4a32be40ef90d9f4afd
PREMIER1英超,p3p://108.181.32.169:37194/64d74cf7000556f0223ed6366e5f689a
Now_spors英超1,p3p://108.181.32.169:37194/64d74c1600083555223b68096e79387e
HUB SPORTS1,p3p://108.181.32.169:37194/64d74ca40007202e223d927267473868
Now_spors1,p3p://108.181.32.169:37194/643361f20007b9a9220fabfc3001244e
Now_spors2,p3p://108.181.32.169:37194/643362090006b031221005903b883d07
Now_spors3,p3p://108.181.32.169:37194/6433621d000d9c3522105573223958e1
Now_spors4,p3p://108.181.32.169:37194/6437999f00025f983289265f38ef3722
Now_spors5,p3p://108.181.32.169:37194/643799aa000e7bac3289547135e05a80
Now_spors6,p3p://108.181.32.169:37194/643799bb00044f193289943e2e5f6ac1
Now_spors7,p3p://108.181.32.169:37194/643799ca000a29a43289d0542d57262c
天映CM+,p3p://108.181.32.169:37194/6410224e00097a01985ff68e53d22e70
天映经典,p3p://108.181.32.169:37194/64124dd500082194a0d9fd8d736a3dff
天映频道,p3p://108.181.32.169:37194/64124e0f00045619a0dadf2552b73bf8
有线18,p3p://108.181.32.169:37194/6533f34d0002237a2cf5584a11195950
28AI赛马,p3p://108.181.32.169:37194/64b8f92b000089e02be334b114c32320
HUB娱家,p3p://108.181.32.169:37194/65f5aef60008044721b5ba22261e5d65
HUB 都会,p3p://108.181.32.169:37194/65f5aefd0000f16221b5d3aa029b351e
